id,group,label,unit,route,default_s1,default_s2,min,max,note
N,Firm,Employees (owner included),,all,3,3,1,25,Everyone on payroll. No contractors: hours beyond capacity are simply not available.
salary,Firm,"Cost per employee, fully loaded",$,all,85000,85000,40000,200000,"Salary, payroll tax and benefits. One blended rate for designers, estimators and craftspeople."
ohHead,Firm,Overhead per employee,$,all,9000,9000,0,40000,"Floor space, tools, software seats and insurance that grow with headcount."
hrsYear,Firm,Productive hours per employee per year,hr,all,1850,1850,1000,2400,"Hours actually spent on quoting, design, forming and handling."
mgmt,Firm,Coordination loss per additional coworker,%,all,1.5,1.5,0,5,Each extra person costs everyone this share of their hours in meetings and handoffs. The organizational source of diseconomies of scale.
fixOH,Firm,Fixed overhead (annual),$,all,30000,30000,0,150000,"Accounting, legal, general liability, office. Does not grow with headcount."
rate,Firm,Cost of capital,%,all,10,10,0,30,Charged on per-design outlays from order until the customer pays.
payTerms,Firm,Customer payment terms after delivery,wk,all,6,6,0,16,Net-30 to net-60 plus retainage is normal in construction.
price,Market,Price per panel,$,all,7500,7500,1000,30000,"4 x 10 ft doubly curved aluminum panel, supplied not installed. About $2,080/m² ($193/ft²)."
n,Market,Units per design (batch size),,all,5,5,1,25,How many identical panels share one geometry. Freeform facades often run 1 to 6.
leadCost,Market,Marketing cost per qualified lead,$,all,400,400,0,3000,"Bid boards, trade shows, sample panels, per architect or contractor who asks for a quote."
winBase,Market,Win rate if delivery were instant,%,all,45,45,5,95,Share of quotes that become orders before lead time is considered.
halfLife,Market,Lead time that halves the win rate,wk,all,8,8,1,40,Construction schedules punish slow suppliers.
leadSat,Market,Local market depth (leads/yr before lead cost doubles),,all,200,200,20,2000,Custom facade work is regional and thin. The demand-side source of rising marginal cost.
gamma,Market,Market saturation curvature,x,all,3,3,1,4,How sharply lead cost climbs past market depth.
fixMkt,Market,Base marketing (annual),$,all,15000,15000,0,100000,"Website, portfolio photography, AIA and CSI memberships."
changeProb,Market,Chance the architect revises after tooling is made,%,all,20,20,0,80,"A die absorbs a revision badly, a buck moderately, a toolpath cheaply."
hrsQuote,Hours,Hours per quote (won or lost),hr,all,3,3,0,20,
hrsUnit,Hours,"Hours per unit: handling, QC, install coordination",hr,all,2,2,0,10,
hrsDesignT,Hours,Design hours per geometry,hr,tooled,16,16,0,80,"Geometry must be made die-formable: draw depth, addendum, springback."
hrsDesignH,Hours,Design hours per geometry,hr,hand,14,14,0,80,Buck model plus a forming plan for the craftspeople.
hrsDesignM,Hours,Design hours per geometry,hr,machina,10,10,0,80,CAD goes straight to toolpath with fewer formability constraints.
netMat,Material,Aluminum in the finished panel,$,all,210,210,20,1500,3.6 m² of 3 mm 5052 ≈ 29 kg at about $7/kg delivered.
coat,Material,Coating and packing per panel,$,all,250,250,0,1500,PVDF paint or anodize. Same for every route.
utilT,Material,Material utilization,%,tooled,70,70,30,100,Binder and addendum trimmed after the draw.
utilH,Material,Material utilization,%,hand,80,80,30,100,"Near-net blanks, trimmed by hand."
utilM,Material,Material utilization,%,machina,60,60,30,100,The clamping frame border is scrap.
dieCost,Tooled,Draw die per geometry,$,tooled,45000,45000,5000,300000,Large 4 x 10 ft draw die. Soft zinc-alloy or epoxy $20k–60k; hardened steel $100k+.
dieEng,Tooled,Die design engineering,$,tooled,5000,5000,0,30000,Often left out of the die quote.
tryout,Tooled,Tryout and first article,$,tooled,4000,4000,0,30000,
changeCost,Tooled,Die rework when the design changes,%,tooled,30,30,0,100,Share of die cost.
dieStore,Tooled,Die storage or disposal,$,tooled,300,300,0,5000,
inspectT,Tooled,First-article inspection per geometry,$,tooled,600,600,0,5000,
setupHrs,Tooled,Press setup hours per job,hr,tooled,4,4,0,16,
runHrs,Tooled,Press hours per panel,hr,tooled,0.4,0.4,0.05,3,
pressRate,Tooled,Press host rate,$,tooled,225,225,50,800,"Large-bed press, per hour."
trimT,Tooled,5-axis laser trim per panel,$,tooled,180,180,0,1000,
buckCost,Hand-formed,CNC-milled buck per geometry,$,hand,3500,3500,0,20000,MDF or foam form the craftspeople shape the panel against.
hrsFormH,Hand-formed,Forming hours per panel,hr,hand,60,60,5,200,"English wheel, stretching, planishing, weld repair. Coachbuilders spend 40–100+ hours on a hood-sized panel."
scrapH,Hand-formed,Rework or scrap rate,%,hand,15,15,0,50,Panels that miss the ±2 mm joint tolerance and are remade.
inspectH,Hand-formed,3-D scan per geometry,$,hand,400,400,0,5000,
trimH,Hand-formed,Trim and edge prep per panel,$,hand,120,120,0,1000,
equipH,Hand-formed,Forming shop (annual),$,hand,30000,30000,0,150000,"Wheels, power hammer, welders, extra floor space."
mNRE,Machina,Programming and first article per geometry,$,machina,3500,3500,0,20000,"Toolpath, frame setup, first-part scan. Synthetic: Machina publishes no pricing."
mHrs,Machina,"Robot hours per panel (form, scan, trim)",hr,machina,5,5,0.5,30,
mRate,Machina,Cell rate per robot-hour,$,machina,300,300,50,1000,Including Machina's margin. Synthetic.
finishM,Machina,Surface finishing per panel,$,machina,180,180,0,1000,"Stated finish is 125 µin Ra, so visible faces are blended before coating."
trimM,Machina,Residual deburr per panel,$,machina,25,25,0,500,
shipBase,Logistics,Handling per shipped panel,$,all,60,60,0,500,
freight,Logistics,Freight per panel-mile,$,all,0.35,0.35,0.05,2,
milesH,Logistics,Miles: own shop to site,mi,hand,40,40,0,1000,
milesT,Scenario,Miles: die host to site,mi,tooled,25,60,0,3000,
milesM,Scenario,Miles: Machina factory to site,mi,machina,1800,150,0,3000,Worst case: the Los Angeles factory. Best case: a regional factory that does not exist yet.
crateM,Scenario,Crating per panel,$,machina,150,40,0,600,
